narrative,product,response
disputed account credit multiple time received information anyone except verification credit bureau thought right request validation looked online found letter sent jefferson capital sent anything please help,debt_collection,"We've noted that you're disputing the multiple credits to your account, which appears to be related to a collection activity by Jefferson Capital. You mentioned receiving information from an unknown source and questioned the validity of the credit bureau's verification process. We'll review this matter internally and investigate the discrepancy regarding the credits on your account. Our team will also look into the communication you received from the collection agency, Jefferson Capital, and verify if any correspondence was sent to you in relation to these credits."
couldnt find right response im explaining im trying fix credit score couple thing went score went bet paid boost would gone credit reporting seems corrupt thats complaint,credit_reporting,"I understand that you're experiencing difficulties with your credit score and are concerned about the accuracy of credit reporting. You mentioned that a recent payment was not reflected in your score, despite being marked as paid on your account. Additionally, you've noticed discrepancies in how your credit score has been affected by certain factors, including a previously reported boost. Our team will review this matter internally to investigate any potential errors or inconsistencies in the credit reporting process that may have impacted your score. We'll look into why the payment was not properly reflected and assess whether there's been any unauthorized influence on your credit report."
reporting score lender even close want pay fee get score bogus reporting ask proof paying lively hood every monitoring app show score bewteen want justify score attached report,credit_reporting,"We've received your complaint regarding a discrepancy with your credit reporting score. You're concerned that the score is inaccurate and has been affecting your ability to secure loans from certain lenders, even when you've made payments on time. You've also mentioned that an app used for monitoring your credit score shows inconsistent readings, which you believe may be contributing to this issue. Our team will review the attached report and investigate further to determine if there's any evidence of bogus reporting or errors affecting your score. We'll look into why some lenders are requiring a fee from you to access your full credit history, as well as how your livelihood is being impacted by these inaccuracies."
paid almost escrow misapproriated fund claim getting refund whoever sent want u mail even though overpaid escrow transferred payment paying difference escrow paid plus tax insurance money using,mortgages_and_loans,"We have taken note of your concern regarding the alleged misappropriation of an escrow fund. According to your complaint, you had overpaid the escrow account and are now seeking a refund for the excess amount. You also mentioned that this discrepancy has resulted in additional payments being made towards taxes and insurance. Our team will review the transaction history associated with your mortgage account to verify the accuracy of the escrow calculations and identify any potential errors that may have led to the overpayment. We will conduct an internal investigation into this matter to determine the cause of the issue and ensure that you receive a refund for the excess amount as soon as possible."
pnc allowing use app easiest way send money whatever reason sudden allowing previously issue extremely disappointing thing figure pnc forcing everyone use app website please fix ability use,retail_banking,"We've received your concern about the PNC mobile banking app. You're experiencing difficulties sending money through the app, which has become a more straightforward option for you recently. However, this feature is no longer available to you due to an issue that's arisen. We understand how frustrating it can be when a previously reliable method stops working. Our team will review your situation internally and investigate why you're unable to use this feature in the app. We'll look into resolving the problem as soon as possible so you can continue using our services without interruption."
disputed following account multiple time still reporting came back verified receive proper documentation stating spoke document provided validate responsible account showing signature attached document showing deleted account question,credit_reporting,"We have received your complaint regarding the disputed account being reported in your credit history. You mentioned that this has happened multiple times, and despite providing documentation to verify the issue, it continues to be marked as verified by the reporting agency. We understand that you have attached a document showing your signature and another document indicating that the account was deleted, which contradicts the ongoing report of the account's existence. Our team will review this matter internally to investigate why the dispute has not been resolved despite your efforts to provide proof."
first time identity compromised understand happened please remove fraudulent unknown account report soon possible mine account open without consent deptedxxxx deptedxxxx deptedxxxx deptedxxxx deptedxxxx usdeped usdeped bankruptcy chapter,credit_reporting,"I've taken note of your concern regarding the unauthorized opening of multiple accounts in your name, which has also led to a fraudulent credit reporting issue. You mentioned that you're dealing with the aftermath of identity compromise and have already filed for Chapter 7 bankruptcy through USDEP. Our team will review this matter internally and investigate how these accounts were opened without your consent. We'll look into removing any associated reports from your credit history as soon as possible to minimize further impact on your credit score."
account show day past due two different time inaccurate contacted late payment told call credit bear filed dispute credit bureau inaccurate report still reported credit never late account,credit_reporting,"I've reviewed your complaint regarding the inaccuracies on your credit report. It appears that your account has been marked as day past due multiple times, despite you having informed the relevant parties that payments were made on time. You also mentioned contacting a company called Credit Bear and filing a dispute with a credit bureau, but unfortunately, the error persisted. Our team will investigate this matter internally to determine how this discrepancy occurred and ensure that your account is accurately reflected in your credit report. We'll review our records and communication with you to identify any potential causes of this issue and take corrective action as necessary."
account credit bureau account past time frame allowed reported proof account eight year old never able prove account ever payment time frame violating fcra three credit bureau transunion,credit_reporting,"We have received your complaint regarding a discrepancy with the reporting of your credit history to TransUnion. Specifically, you are concerned that an account was reported as having been past due for an extended period and was not removed from your credit report in accordance with the Fair Credit Reporting Act (FCRA) time frames. We will review this matter internally to investigate why the account information was not updated as expected. Our team will examine the documentation provided to TransUnion, including any proof of payment or account activity, to determine if there were any errors or inaccuracies that may have led to this reporting issue."
thank reviewing complaint reviewing credit profile continues report account repeatedly according fcra method reporting illegal inaccurate multiple account display instead two method reporting continues compromise credit score creditworthiness,credit_reporting,"We understand that you're experiencing issues with your credit reporting, specifically regarding the repeated and incorrect reporting of an account on your credit profile. You mentioned that this has been happening through both methods of reporting, which is causing a compromise to your credit score and creditworthiness. Our team will review this matter internally to investigate why these inaccuracies are occurring and how we can prevent them from continuing in the future. We'll examine our processes for reporting accounts to ensure they align with FCRA regulations and take any necessary steps to correct the errors on your report."
hello party involved account number ending closed back still owing balance problem closing date recorded incorrectly showing please correct equifax reporting account credit report recording account credit report,credit_reporting,"We have received your complaint regarding an issue with the closure of an account associated with a specific credit report. You mentioned that the account, which ended in a certain number, was closed but still shows a balance owing and has an incorrect closing date recorded. Additionally, you are concerned about the impact on your Equifax credit report, as it appears to be incorrectly reflecting this account's status. Our support team will review the internal records related to this account closure and investigate the discrepancy in the reported balance and closing date. We will also verify how this has affected your Equifax credit report and take necessary steps to correct any inaccuracies."
consumer need understand please nobody listing complains closed bank america account account opened maintained closed someone else recognize authorized account opened maintained someone stole information opened fraudulent account,credit_reporting,"We've taken note of your concern regarding a potential unauthorized account being opened in your name. You mentioned that the account was initially opened and maintained by someone else, who then had it closed with Bank of America. However, you believe that this individual may have stolen your information to open a new fraudulent account. Our team will review the details of your case internally to determine if any unauthorized activity occurred on our systems or if there were any security breaches that led to this situation. We'll investigate further to understand how this may have happened and what steps we can take to prevent similar incidents in the future."
paypal credit card statement clear understand show beginning balance statement could ability make correction check outstanding balance accurate contacted customer care nothing resolved told way prepare statement anything,credit_card,"We're reviewing your case regarding the PayPal credit card statement. You mentioned that you have difficulty understanding the beginning balance on the statement and are concerned about making corrections to ensure the outstanding balance is accurate. Unfortunately, our previous conversation with Customer Care did not resolve this issue, and we appreciate you bringing it back to our attention. Our team will investigate further into the discrepancy and review the process for preparing your credit card statements to identify any errors or areas for improvement. We will also look into why no resolution was reached during the initial contact with Customer Care."
received letter date amount injured job due fun shot wound delivering since work due medication fighting workman comp insurance receiving paycheck discover financial service pursued litigation pay debt,debt_collection,"We understand that you've received a letter from Discover Financial Service regarding an alleged debt, which has caused you concern. Specifically, the letter mentions an injury sustained while working and claims that your worker's compensation insurance is being used to pursue payment for this debt. We will review the documentation related to this issue internally to ensure that all parties involved have followed proper procedures and that any necessary steps have been taken to address your situation. Our team will investigate further to clarify the circumstances surrounding this debt and determine if it aligns with your employment records and worker's compensation claims."
gregory funding paid insurance caused terminated tax past year gregory funding purchase loan another company escrow paying amount mortgage gregory funding suppose even mortgage escrow account paying bill,mortgages_and_loans,"I've reviewed your complaint regarding the termination of your tax exemption due to Gregory Funding's payment of insurance, which was subsequently reflected in your escrow account. It appears that this led to a discrepancy with another company managing your mortgage payments. Our support team will investigate this matter internally to determine how this situation arose and ensure that all parties involved are properly accounted for. We will also review the impact on your tax status from the past year and explore options for rectifying any errors or omissions made in the process."
credit agency reporting bankruptcy credit report disputed stated information verified reached bankruptcy court asked method verification used told writing report credit reporting agency asked credit agency verified stated,credit_reporting,"We understand that you've been disputing the reported bankruptcy on your credit report with a credit agency, and they have stated that the information is verified. You've also mentioned that this matter was taken to the bankruptcy court for verification and that the method of reporting used by the credit agency was questioned. Our support team will review this case internally to investigate why the credit agency's reported information may not align with the court's findings, as well as their procedures for verifying sensitive data such as bankruptcies. We'll look into the discrepancies you've mentioned and work towards resolving any inaccuracies in your credit report."
pretty simple mortgage loan holder stated would stop reporting derogatory information credit reporting agency pandemic late payment reported equifax submitted online request derogatory information deleted failed comply request,credit_reporting,"We have noted that the mortgage lender had previously agreed to cease reporting a late payment to Equifax, but unfortunately, it appears this was not carried out as requested. As a result, the derogatory information remains on your credit report with Equifax. Our support team will investigate this matter further and review the correspondence between you and the mortgage lender regarding their agreement to delete the reported late payment. We will also verify that the online request submitted by you to Equifax was processed correctly and that the requested deletion was not completed as intended."
filed numerous dispute also locked online account used credit year incarcerated looked sought legal help since filed dispute luck submitting information hope company receive information update report immediately,credit_reporting,"We have received your complaint regarding the disputes you've filed and the subsequent lock on your online account. Our records indicate that these disputes were related to a credit reporting issue from last year, which occurred while you were incarcerated. We understand that you sought legal help in attempting to resolve this matter after filing the dispute. Our internal review team will investigate the status of your dispute and the reason for the lock on your online account. We will also verify whether any necessary information was received from you during the dispute process and ensure that your credit report has been updated accordingly."
transunion allowed debt otherwise negative report placed credit report even though fraudulent account created minor debt mine opened minor provided proof age credit reporting agency removed negative account,credit_reporting,"We've received your complaint regarding a disputed debt on your TransUnion credit report. According to your submission, you claimed that a fraudulent account was created in your name resulting in a minor debt, and despite providing proof of your identity, the negative mark remained on your report. You also stated that the credit reporting agency removed the account after being informed of its fraudulent nature. Our team will review this case internally to determine if any further action is necessary to rectify the situation and ensure accurate information is reflected in your credit history."
contacted transunion regarding victim inquiry issue quite report initiated customer service helpful getting issue resolved victim wouldnt think process would difficult correct inaccuracy following item initiated dont recognize,credit_reporting,"We understand that you contacted TransUnion regarding an issue with a Victim Inquiry, and our customer service team was able to assist you in resolving the problem. However, you mentioned that the process seemed unnecessarily complicated and took some time to correct the inaccuracy related to an item on your report that you don't recognize. We will review this case internally to see if there were any steps we could have taken to make the process smoother for you. Our team will investigate further to determine what caused the delay and identify areas where our procedures may need improvement."
reached transunion remove transunion credit report name name information showing report name reporting incorrectly transunion attached copy three bureau compare difference report show correct name verse incorrect name,credit_reporting,"We've received your concern regarding the TransUnion credit report, specifically that it's displaying an incorrect name. You've shared a copy of the report with us, which shows a discrepancy between the reported name and the actual name on file. Our team will review this documentation internally to investigate why this error occurred and how we can correct it. We'll also compare the TransUnion report with other bureau reports to identify any potential discrepancies. This review may take some time, but we'll work diligently to resolve the issue as soon as possible."
contacted company beginning advise information transmitting credit bureau incorrect given fact account charged year ago company maliciously continuously keep reporting account still open balance execute erroneous act every,credit_reporting,"We have noted your concern regarding the continuous reporting of an account that was supposedly closed a year ago. According to your statement, our previous communication with you involved advising on information transmitted from a credit bureau that contained inaccuracies about this specific account. You alleged that our actions were malicious and led to erroneous reports being executed every time the account's status was updated. Our support team will review this matter internally to investigate the discrepancies in the credit reporting and determine why your account was not properly marked as closed, despite previous notifications of a settled balance. We will also look into any potential malfeasance on our part that may have contributed to these errors."
unaware debt owed year ago company harassing saying would show home work also lied saying recorded accepting debt mine still know paid anyway make go away absolutely ridiculous,debt_collection,"We are reviewing your complaint regarding a debt collection issue that has been ongoing for over a year. According to the information provided, you claim to have already paid off the debt but are being harassed by a company stating they will take further action, including potentially showing up at your workplace. You also mention that this company allegedly lied about having recorded acceptance of the debt and is continuing to pursue collection despite your assertions that it has been settled. Our support team will investigate these claims internally to determine if any wrongdoing or miscommunication occurred during the debt collection process. We will review all relevant documentation and communication records to verify your account status and address this matter further."
